Latitude,Longitude
-7.801563860591237,112.51769319333533
-7.801477424124294,112.51729585392101
-7.801729217260843,112.51720576503232
-7.8019810102457825,112.51711567614363
-7.802187705866386,112.51698955169944
-7.802394401384829,112.51686342725529
-7.80240050829631,112.51683023661208
-7.802406615207715,112.51679704596886
-7.802617538477541,112.51660643684647
-7.802828461640945,112.51641582772409
-7.8029186559233334,112.51628306515127
-7.803008850186244,112.51615030257847
-7.803019184944295,112.51611047380662
-7.803029519702092,112.51607064503479
-7.803029519702092,112.51602986795884
-7.803029519702092,112.51598909088291
-7.803037975412837,112.51596253836834
-7.80304643112343,112.51593598585379
-7.803059584450619,112.5159246062047
-7.8030727377774,112.51591322655561
-7.803106560615817,112.51591796807608
-7.803140383451486,112.51592270959652
-7.803268158583824,112.51597771123382
-7.803395933677106,112.51603271287112
-7.803453714313079,112.5160388768477
-7.8035114949410636,112.51604504082431
-7.8035114949410636,112.51602702304659
-7.8035114949410636,112.51600900526884
-7.803494113777382,112.51597391801747
-7.8034767326129755,112.51593883076609
-7.803484248792257,112.51590895918719
-7.803491764971387,112.51587908760833
-7.803506313175766,112.51586245395802
-7.8035208613796225,112.51584582030775
-7.803547767254203,112.51584213227035
-7.803574673127054,112.51583844423297
-7.80358098438093,112.51582905650142
-7.803587295634716,112.51581966876985
-7.803592610374667,112.51578714698556
-7.803597925114554,112.51575462520124
-7.803588292148451,112.51573953777553
-7.803578659182132,112.51572445034982
-7.803593939059629,112.5157016515732
-7.80360921893658,112.51567885279655
-7.803611211963959,112.51566711813211
-7.803613204991339,112.51565538346767
-7.803597260772072,112.51565605401994
-7.8035813165521954,112.5156567245722
-7.803652101989281,112.51561617743562
-7.8037228874144065,112.51557563029903
-7.803736040720324,112.51555998328153
-7.80374919402582,112.51554433626401
-7.803756710200218,112.5155225252699
-7.803764226374474,112.51550071427579
-7.803771272787726,112.51549502445125
-7.80377831920085,112.51548933462671
-7.8037824587687705,112.51548200213101
-7.803786598336665,112.51547466963534
